Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
Basement for rent near humber college,2200,"Etobicoke, ON M9W 7B5",2024-03-12 01:53:27,,,,,,,,,No,,No,,,,,,"Clean and convenient 2-bedroom, 1-bathroom basement available for rent in Etobicoke, ideally situated near Humber College and a TTC bus stop. Utilities, laundry, and Wi-Fi are all included . Separate entrance ensures privacy. No pets and no smoking allowed. Ready for move-in from May 1st. This space is perfect for a small family or a maximum of three individuals. Serious inquiries only, please reach out if interested.",10 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-for-rent-near-humber-college/1687967876
1 bedroom for rent,1100,"Fairway Dr, Scarborough, ON M1J",2024-03-12 01:53:07,,,,,,,,,No,,Yes,,,,,,"This spacious room is available for rent starting April 1st. Can be rented privately or can be shared between two individuals. The owner prefers renting the room to students or working professionals.
No couples
DM me if you have any questions.",8 visits,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/1-bedroom-for-rent/1687967848
Completely furnished studio condo,,"Bay Street, Toronto, ON",2024-03-12 01:50:32,,,,,,,,,,,Yes,,,,,,Freshly painted and professionally cleaned. in suit high efficiency washer and dryer. Rent includes all utilities except internet.,12 visits,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/completely-furnished-studio-condo/1687967688
Fully furnished condo for rent,2750,"17 Bathurst St, Toronto, ON M5V 0N1",2024-03-12 01:49:44,Condo,1,1,,Not Included,0,1 Year,"March 11, 2024",Yes,553,Yes,Yes,Balcony,Yes,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building","Beautifully Fully furnished 1 bedroom and 1 bathroom condo , 2 minutes walk from lakeshore in heart of downtown Toronto. Conveniently located above LCBO, Loblaws , Joe Fresh, Shoppers Drug Mart etc … Must see with breathtaking views of CN tower and DVP. Will not last long.",11 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/fully-furnished-condo-for-rent/1687967607
2 BED 2 BATH CONDO LEASE,3000,"Scarborough, ON M1K",2024-03-12 01:49:31,Condo,2,2,"Hydro_No,Heat_Yes,Water_Yes",Not Included,1,1 Year,"April 1, 2024",No,850,No,Yes,YardBalcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Bicycle Parking, Elevator in Building","UNFURNISHED - 2 BED - 2 BATH - CONDO / APARTMENT - 850 SQ. FT.
Scarborough Toronto Condo Rental
Gorgeous 2 Bedroom, 2 Bath with Hardwood Floors
$3,000 /month
Available: April 1st
Short Term or long Term
Kennedy and St Clair Intersection, Scarborough
This 850 square foot, 2 bedroom, 2 bathroom features unfurnished space ready for your personal touch. A modern kitchen with stainless steel appliances, dark cabinetry and ample cabinet space for all your kitchenware. This corner unit Toronto condo rental boasts a spacious layout, balcony access from the main living area and gorgeous hardwood floors. The master bedroom features space for all your personal furnishings and is awarded an en-suite bathroom. The guest bedroom is at the opposite end of the condo making it perfect for shared accommodation. Included in this Toronto Condo Rental is in-suite laundry, dish washer, patio, 1 parking space, visitor parking, air conditioning. Residents enjoy access to the building amenities including a custom and elegantly designed lobby, rooftop patio with gas grills, party room, gym, and a stunning ground level courtyard.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-2-bath-condo-lease/1687967593
"Newly renovated 1 bed, 1 bath 6min walk to Ossington station",1900,"Concord Ave, Toronto, ON M6H",2024-03-12 01:47:34,Basement,1,1,,Not Included,0,1 Year,"April 1, 2024",Yes,575,No,Yes,Not Included,No,,,"This comfortable unit features:
-Separate entrance
-New kitchen with quartz countertops, plenty of counter space, pullout drawers and spice racks
-Fridge, stove, dishwasher, washer, dryer
- Large bedroom
- Lots of closet for storage, including a cold room
-Quiet neighbours upstairs (a work from home couple and their dog)
-Pot lights
-Key pad entry
-Wonderful neighbourhood close to the subway, restaurants, cafes, parks, farmers market, green grocers
Rent - $1900/month, includes all utilities except internet.
First and last month's rent, proof of income / employment, rental references are required.
Looking for a quiet, respectful tenant that's appreciative of clean spaces and thoughtful design. If you’re interested in a viewing, please send me a message with a bit about yourself and your search.
Thank you!",17 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newly-renovated-1-bed-1-bath-6min-walk-to-ossington-station/1687967399
2 Bed + 2 Bath New Condo on Bathurst & Eglinton,2600,"Bathurst Street, York, Toronto, ON",2024-03-12 01:47:13,,,,,,,,,No,,No,,,,,,BRAND NEW 2 bed and 2 full bathroom condo in high end Forest Hill Area (Bathurst and Eglinton),9 visits,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/2-bed-2-bath-new-condo-on-bathurst-eglinton/1687967377
3 Bedroom home for rent - bloor west village,3400,"Watson Ave, York, ON M6S 4E3",2024-03-12 01:46:18,House,3 + Den,2,,Not Included,0,1 Year,"May 1, 2024",Yes,"1,700",No,Yes,Not Included,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer",,"Wonderful renovated older home for rent!
Pictures are from last year while under Reno’s
Fully new main floor / new appliances, new floor, new main floor washroom. Open concept!
Upstairs has 3.5 bedrooms with closets! And full washroom
Front porch!
Beautiful matured area - walking distance to grocery stores, library and schools,
In Humbercrest school catchment !
Look no further for the perfect place to live!
Contact me at +14168983808
Available for May 1",14 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-home-for-rent-bloor-west-village/1687967304
Room for Rent,950,"North York, ON M2J 3T2",2024-03-12 01:43:51,,,,,,,,,No,,Yes,,,,,,"Finch / Victoria Park, M2J 3T2, one bedroom for one person, no parking available currently, two people share the bathroom. close to TTC station, utility and internet are included, looking for the person who is clean and quiet, but no pet, no smoking, and no marijuana, at least 6 months lease, please call directly If you are interested, I will answer any questions you ask and welcome to view the room, 416 900 1883, thanks.",14 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1687967121
Girls Shared Room Available For Rent,480,"14 Castleford Drive, Scarborough, ON",2024-03-12 01:41:18,,,,,,,,,No,,Yes,,,,,,*Shared Accomodation Available for Girls/Couples in Scarborough* (Temporary also available),20 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/girls-shared-room-available-for-rent/1687966938
Bedroom for rent near utsc Scarborough,900,"Manse Rd, Toronto, M1E4Y7",2024-03-12 01:41:16,,,,,,,,,,,Yes,,,,,,"Furnished Primary Room for rent
1 king bedroom
Dresser
Study table
Projector
Shared bathroom with one other person
Shared kitchen and living room
Owner lives in basement
On-site laundry
Utilities included.
For couples it will be 1000 for rent
First and last required.
Move in April 15.
Open to one year lease, minimum 6 months.
**must be okay with house cat**",23 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/bedroom-for-rent-near-utsc-scarborough/1687966937
Furnished rooms at Downtown for weekly rental $350,350,"Concord Ave, Toronto, ON M6H",2024-03-12 01:40:49,,,,,,,,,No,,Yes,,,,,,"Best location IN Concord Ave By walking distance to bus stop
Booking only by whatsapp...4374281990
Included
------------------
-High speed WIFI internet
-One week one time free laundry
-Parking spot 100/month
-Kitchen
-In unit laundry
-Fully furnished
-Utilities
BOOKING BY WHATSAPP (Do not SMS text )
4374281990
PRICE
------------
$350/Week
$1100/Months start
$1350-1450 double occupancy depending room
Guess Requirements
__________________
1.government ID (Driver's license or Passport)
2.No smoke,drugs,loud music.
3.sign rental agreement
4.Max 2person occupancy
BOOKING ONLY BY WHATSAPP [do not SMS text ] 4374281990
.Concord Ave Toronto",6 visits,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/furnished-rooms-at-downtown-for-weekly-rental-350/1687966899
basement single room from April 1,,M5T 2N3,2024-03-12 01:40:19,,,,,,,,,,,Yes,,,,,,"downtown Spadina ave & Dundas St one of two room basement unit for rent, furnished share kitchen amd bathroom with another female student. walking distance to U of T , Ryerson University, OCAD. 24TTC just few steps away. utilities all included.",9 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-single-room-from-april-1/1687966866
Furnished rooms at Beechgrove Cres for weekly rent $350,350,"Beechgrove Crescent, Markham, ON L3R 4Z1",2024-03-12 01:38:23,,,,,,,,,No,,Yes,,,,,,"Best location IN Beechgrove Cres By walking distance to bus stop
Booking only by whatsapp...4374281990
Included
------------------
-High speed WIFI internet
-One week one time free laundry
-Parking spot 100/month
-Kitchen
-In unit laundry
-Fully furnished
-Utilities
BOOKING BY WHATSAPP (Do not SMS text )
4374281990
PRICE
------------
$350/Week
$1100/Months start
$1350-1450 double occupancy depending room
Guess Requirements
__________________
1.government ID (Driver's license or Passport)
2.No smoke,drugs,loud music.
3.sign rental agreement
4.Max 2person occupancy
BOOKING ONLY BY WHATSAPP [do not SMS text ] 4374281990
.Beechgrove Cres Milliken Mills west",7 visits,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/furnished-rooms-at-beechgrove-cres-for-weekly-rent-350/1687966739
2 bedroom apt in Finch & Birchmount for 1950$ on April 1,1950,"Timberbank Boulevard, Scarborough, ON",2024-03-12 01:37:47,Duplex/Triplex,2,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,Month-to-month,"April 1, 2024",No,860,Yes,Yes,YardBalcony,No,"Laundry (In Unit), Fridge / Freezer",,"Bright and new renovated 2 bedroom apartment in available on April 1
Walk out to 1st floor
860 sq foot: 2 bedrooms, 1 living room, 1 kitchen, 1 washroom and toilet, 1 shower room, 1 laundry room
Living room and kitchen in 1st floor
2 bedrooms with shower room, toilet, laundry room half stairs down in basement
Huge master bedroom of 201 sq feet(19 sq meters) with walk-in closet
2nd bedroom of 107 sq feet(10 sq meters) with open closet
Nothing is shared
Near schools, public transport 3 minutes walk
20 minutes to Finch and Subway by TTC Bus 939 and 50 minutes to downtown
20 minutes to Scarborough Town Center by TTC 939
25 minutes to Warden Station and Subway Line 2 by TTC Bus 17 and 50 minutes to downtown
Furniture including sofa, TV stand, king size and queen size beds, night stand, desk, microwave and kitchen utensils
Internet and free wifi
Good for single, a couple or maximum 3 people
Parking extra $80
Text 647 534 1188 if you are interested",20 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apt-in-finch-birchmount-for-1950-on-april-1/1687966695
Furnished Studio in College Park North On Bay Street,,"Bay Street, Toronto, ON",2024-03-12 01:36:14,Condo,Bachelor/Studio,1,"Hydro_Yes,Heat_Yes,Water_Yes",Not Included,0,1 Year,"April 1, 2024",Limited,450,Yes,Yes,Not Included,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Completely furnished studio condo on 4th floor. Freshly painted and professionally cleaned. in suit high efficiency washer and dryer. Rent includes all utilities except internet.
Underground Access To The TTC Subway. You Never Have To Step Outside In The Cold. Also Features World Class Amenities, With Restaurants, Shops, Hospitals And 2 Major Universities Are Only Steps Away.
24 hours conceige.
Two grocery stores, LCBO, bank, deli and convenience stores on main floor",7 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/furnished-studio-in-college-park-north-on-bay-street/1687966585
Private basement room available for rent,650,"Scarborough, ON M1K 2W3",2024-03-12 01:30:51,,,,,,,,,No,,Yes,,,,,,Private basement room available for rent. Minutes walk to bus stop. Shared kitchen and washrooms. Utilities included with rent. Laundry and WiFi are free. Female student or female working person preferred.,39 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-basement-room-available-for-rent/1687966235
Cosy 1 Bedroom plus den Basement Apartment,1750,"Toronto, ON M6K 1R7",2024-03-12 01:28:22,Basement,1 + Den,1,"Hydro_Yes,Heat_Yes,Water_Yes",Not Included,0,Month-to-month,"April 1, 2024",No,600,Yes,Yes,Not Included,No,"Laundry (In Building), Dishwasher, Fridge / Freezer",,"Cozy one bedroom + den Basement apartment, Brockton Village.
-Excellent location in quiet neighbourhood, close to McCormick park (has hockey arena and swimming in community centre), walking distance to no frills and sweet yummy restaurants, shops on Dundas west.
-Large basement with private entrance, 1 bedroom, living room, kitchen, den and bathroom.
-Brand new gas stove, gas fireplace, lovely quartz countertops, shared laundry(beside unit) with upstairs tenants, bamboo floors.
-Lightly Furnished but can be unfurnished.
-All inclusive
Available April 1st, 2024. $1750 utilities included.
Message to set up appointment",11 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/cosy-1-bedroom-plus-den-basement-apartment/1687966049
rent a room,700,"Brownridge Crescent, Etobicoke, ON",2024-03-12 01:27:07,,,,,,,,,No,,Yes,,,,,,rooms avaliable for rent only for girls close to humber college,11 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/rent-a-room/1687965943
Furnished Room Available in 2-BR Apartment,1200,"Toronto, ON M4P 2L4",2024-03-12 01:27:05,,,,,,,,,No,,Yes,,,,,,"2-Bedroom apartment (674 sq.ft) with shared kitchen, bathroom, living area & spacious balcony. Room fitted with a single bed, armoire, chest drawers and closet. Hydro, Internet, Cable TV w/Netflix, Household and Appliances included. Card laundry available in building basement. Building includes small gym / workout room and seasonal outdoor pool. Within a 15-minute walk from Eglinton subway station. TTC bus stops, shops, convenience stores, amenities, parks all nearby. On-site underground parking available at an $$ extra, subject to availability. No smoking or pets allowed. First and last month rental required.",13 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-available-in-2-br-apartment/1687965939
1BR & 2BR Brand New Condo units at Bathurst St & Eglinton Ave W,1850,"2020 Bathurst St, Toronto, ON, M5P 0A6",2024-03-04 21:42:00,Condo,2 + Den,2,,Internet,1,1 Year,"March 31, 2024",Yes,"1,000",No,Yes,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Looking for a couple/working professional to lease a brand new Condo at Bathurst St & Eglinton Ave West available immediately !! Steps to Eglinton West TTC subway station, Yorkdale Mall, Top Restuarants, Major Groceries, Shoppers Drug Mart, Major Highways & Much More !! Direct Lobby access to Forest Hill station on Eglinton Crosstown LRT !!Please contact me today: 647-716-2524 for further inquires or to make an offer. Text for faster response",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1br-2br-brand-new-condo-units-at-bathurst-st-eglinton-ave-w/1687287386
